priority,id,title,sourceUrl,suggestedFile,targetPath,score
"1","one-pot-chicken-and-rice-with-caramelized-lemon","One-Pot Chicken and Rice With Caramelized Lemon","https://cooking.nytimes.com/recipes/1020038-one-pot-chicken-and-rice-with-caramelized-lemon","one-pot-chicken-and-rice-with-caramelized-lemon.jpg","/recipe-images/one-pot-chicken-and-rice-with-caramelized-lemon.jpg","10"
"2","one-pot-ginger-salmon-and-rice","One-Pot Ginger Salmon and Rice","https://cooking.nytimes.com/recipes/1024085-one-pot-ginger-salmon-and-rice","one-pot-ginger-salmon-and-rice.jpg","/recipe-images/one-pot-ginger-salmon-and-rice.jpg","9"
"3","one-pot-salmon-and-shiitake-rice","One-Pot Salmon and Shiitake Rice","https://cooking.nytimes.com/recipes/1025097-one-pot-salmon-and-shiitake-rice","one-pot-salmon-and-shiitake-rice.jpg","/recipe-images/one-pot-salmon-and-shiitake-rice.jpg","9"
"4","one-pot-spiced-shrimp-and-rice","One-Pot Spiced Shrimp and Rice","https://cooking.nytimes.com/recipes/1025896-one-pot-spiced-shrimp-and-rice","one-pot-spiced-shrimp-and-rice.jpg","/recipe-images/one-pot-spiced-shrimp-and-rice.jpg","9"
"5","saucy-skillet-mushroom-chicken","Saucy Skillet Mushroom Chicken","https://cooking.nytimes.com/recipes/1025654-saucy-skillet-mushroom-chicken","saucy-skillet-mushroom-chicken.jpg","/recipe-images/saucy-skillet-mushroom-chicken.jpg","8"
"6","sheet-pan-chicken-with-artichokes-and-herbs","Sheet-Pan Chicken With Artichokes and Herbs","https://cooking.nytimes.com/recipes/1020928-sheet-pan-chicken-with-artichokes-and-herbs","sheet-pan-chicken-with-artichokes-and-herbs.jpg","/recipe-images/sheet-pan-chicken-with-artichokes-and-herbs.jpg","8"
"7","sheet-pan-chicken-with-black-beans-and-squash","Sheet-Pan Chicken With Black Beans and Squash","https://cooking.nytimes.com/recipes/771531010-sheet-pan-chicken-with-black-beans-and-squash","sheet-pan-chicken-with-black-beans-and-squash.jpg","/recipe-images/sheet-pan-chicken-with-black-beans-and-squash.jpg","8"
"8","sheet-pan-chicken-with-cauliflower-and-arugula","Sheet-Pan Chicken With Cauliflower and Arugula","https://cooking.nytimes.com/recipes/1021671-sheet-pan-chicken-with-cauliflower-and-arugula","sheet-pan-chicken-with-cauliflower-and-arugula.jpg","/recipe-images/sheet-pan-chicken-with-cauliflower-and-arugula.jpg","8"
"9","sheet-pan-chicken-with-jammy-tomatoes-and-pancetta","Sheet-Pan Chicken With Jammy Tomatoes and Pancetta","https://cooking.nytimes.com/recipes/1023380-sheet-pan-chicken-with-jammy-tomatoes-and-pancetta","sheet-pan-chicken-with-jammy-tomatoes-and-pancetta.jpg","/recipe-images/sheet-pan-chicken-with-jammy-tomatoes-and-pancetta.jpg","8"
"10","sheet-pan-chicken-with-potatoes-arugula-and-garlic-yogurt","Sheet-Pan Chicken With Potatoes, Arugula and Garlic Yogurt","https://cooking.nytimes.com/recipes/1017359-sheet-pan-chicken-with-potatoes-arugula-and-garlic-yogurt","sheet-pan-chicken-with-potatoes-arugula-and-garlic-yogurt.jpg","/recipe-images/sheet-pan-chicken-with-potatoes-arugula-and-garlic-yogurt.jpg","8"
"11","sheet-pan-chicken-with-potatoes-scallions-and-capers","Sheet-Pan Chicken With Potatoes, Scallions and Capers","https://cooking.nytimes.com/recipes/1020456-sheet-pan-chicken-with-potatoes-scallions-and-capers","sheet-pan-chicken-with-potatoes-scallions-and-capers.jpg","/recipe-images/sheet-pan-chicken-with-potatoes-scallions-and-capers.jpg","8"
"12","sheet-pan-chicken-with-squash-and-dates","Sheet-Pan Chicken With Squash and Dates","https://cooking.nytimes.com/recipes/1021781-sheet-pan-chicken-with-squash-and-dates","sheet-pan-chicken-with-squash-and-dates.jpg","/recipe-images/sheet-pan-chicken-with-squash-and-dates.jpg","8"
"13","sheet-pan-lemon-turmeric-chicken","Sheet-Pan Lemon Turmeric Chicken","https://cooking.nytimes.com/recipes/762284605-sheet-pan-lemon-turmeric-chicken","sheet-pan-lemon-turmeric-chicken.jpg","/recipe-images/sheet-pan-lemon-turmeric-chicken.jpg","8"
"14","sheet-pan-malai-chicken-and-potatoes","Sheet-Pan Malai Chicken and Potatoes","https://cooking.nytimes.com/recipes/1026512-sheet-pan-malai-chicken-and-potatoes","sheet-pan-malai-chicken-and-potatoes.jpg","/recipe-images/sheet-pan-malai-chicken-and-potatoes.jpg","8"
"15","skillet-chicken-with-mushrooms-and-caramelized-onions","Skillet Chicken With Mushrooms and Caramelized Onions","https://cooking.nytimes.com/recipes/1020639-skillet-chicken-with-mushrooms-and-caramelized-onions","skillet-chicken-with-mushrooms-and-caramelized-onions.jpg","/recipe-images/skillet-chicken-with-mushrooms-and-caramelized-onions.jpg","8"
"16","skillet-chicken-with-white-beans-and-caramelized-lemon","Skillet Chicken With White Beans and Caramelized Lemon","https://cooking.nytimes.com/recipes/1019382-skillet-chicken-with-white-beans-and-caramelized-lemon","skillet-chicken-with-white-beans-and-caramelized-lemon.jpg","/recipe-images/skillet-chicken-with-white-beans-and-caramelized-lemon.jpg","8"
"17","caramelized-sheet-pan-fish-tacos","Caramelized Sheet-Pan Fish Tacos","https://cooking.nytimes.com/recipes/1021880-caramelized-sheet-pan-fish-tacos","caramelized-sheet-pan-fish-tacos.jpg","/recipe-images/caramelized-sheet-pan-fish-tacos.jpg","7"
"18","chicken-and-coconut-rice-noodle-soup","Chicken and Coconut Rice Noodle Soup","https://cooking.nytimes.com/recipes/1023176-chicken-and-coconut-rice-noodle-soup","chicken-and-coconut-rice-noodle-soup.jpg","/recipe-images/chicken-and-coconut-rice-noodle-soup.jpg","7"
"19","chickpea-chicken-salad-with-green-harissa-dressing","Chickpea-Chicken Salad With Green Harissa Dressing","https://cooking.nytimes.com/recipes/1024989-chickpea-chicken-salad-with-green-harissa-dressing","chickpea-chicken-salad-with-green-harissa-dressing.jpg","/recipe-images/chickpea-chicken-salad-with-green-harissa-dressing.jpg","7"
