id,title,sourceUrl,suggestedFile,targetPath
"sheet-pan-feta-with-chickpeas-and-tomatoes","Sheet-Pan Feta With Chickpeas and Tomatoes","https://cooking.nytimes.com/recipes/1021953-sheet-pan-feta-with-chickpeas-and-tomatoes","sheet-pan-feta-with-chickpeas-and-tomatoes.jpg","/recipe-images/sheet-pan-feta-with-chickpeas-and-tomatoes.jpg"
"gochujang-buttered-noodles","Gochujang Buttered Noodles","https://cooking.nytimes.com/recipes/1024066-gochujang-buttered-noodles","gochujang-buttered-noodles.jpg","/recipe-images/gochujang-buttered-noodles.jpg"
"miso-salmon-with-greens-and-scallions","Miso Salmon With Greens and Scallions","https://cooking.nytimes.com/recipes/1020330-miso-salmon-with-greens-and-scallions","miso-salmon-with-greens-and-scallions.jpg","/recipe-images/miso-salmon-with-greens-and-scallions.jpg"
"crispy-gnocchi-with-burst-tomatoes-and-mozzarella","Crispy Gnocchi With Burst Tomatoes and Mozzarella","https://cooking.nytimes.com/recipes/1022024-crispy-gnocchi-with-burst-tomatoes-and-mozzarella","crispy-gnocchi-with-burst-tomatoes-and-mozzarella.jpg","/recipe-images/crispy-gnocchi-with-burst-tomatoes-and-mozzarella.jpg"
"one-pot-chicken-and-rice-with-caramelized-lemon","One-Pot Chicken and Rice With Caramelized Lemon","https://cooking.nytimes.com/recipes/1020038-one-pot-chicken-and-rice-with-caramelized-lemon","one-pot-chicken-and-rice-with-caramelized-lemon.jpg","/recipe-images/one-pot-chicken-and-rice-with-caramelized-lemon.jpg"
"turmeric-black-pepper-chicken-with-asparagus","Turmeric-Black Pepper Chicken With Asparagus","https://cooking.nytimes.com/recipes/1020970-turmeric-black-pepper-chicken-with-asparagus","turmeric-black-pepper-chicken-with-asparagus.jpg","/recipe-images/turmeric-black-pepper-chicken-with-asparagus.jpg"
"turmeric-chicken-soup","Turmeric Chicken Soup","https://cooking.nytimes.com/recipes/1020733-baked-mustard-lime-chicken","turmeric-chicken-soup.jpg","/recipe-images/turmeric-chicken-soup.jpg"
"cauliflower-piccata","Cauliflower Piccata","https://cooking.nytimes.com/recipes/1023020-cauliflower-piccata","cauliflower-piccata.jpg","/recipe-images/cauliflower-piccata.jpg"
"brothy-thai-curry-with-silken-tofu-and-herbs","Brothy Thai Curry With Silken Tofu and Herbs","https://cooking.nytimes.com/recipes/1023042-brothy-thai-curry-with-silken-tofu-and-herbs","brothy-thai-curry-with-silken-tofu-and-herbs.jpg","/recipe-images/brothy-thai-curry-with-silken-tofu-and-herbs.jpg"
"garlicky-salmon-and-broccoli","Garlicky Salmon and Broccoli","https://cooking.nytimes.com/recipes/1021874-garlicky-salmon-and-broccoli","garlicky-salmon-and-broccoli.jpg","/recipe-images/garlicky-salmon-and-broccoli.jpg"
